customer_id,month,salary_credit,monthly_spending,account_balance
1,1,65000,54205,382205
1,2,73107,60087,383869
1,3,65545,44646,401205
1,4,70346,49728,390102
1,5,71565,43748,384183
1,6,68129,50221,400554
1,7,71657,48716,382703
1,8,71293,41845,385326
1,9,72524,50107,392063
1,10,76190,52414,391669
1,11,67264,42893,397223
1,12,69932,41599,395977
2,1,76152,34277,320099
2,2,64238,26002,309581
2,3,76456,33681,317094
2,4,70555,30629,314896
2,5,70597,25350,327011
2,6,65313,23866,311133
2,7,73811,26034,323987
2,8,74416,32051,322551
2,9,74062,30856,312126
2,10,68018,25053,316957
2,11,71726,27599,311019
2,12,72363,31566,327680
3,1,50227,27891,399381
3,2,47017,33271,390268
3,3,50632,30970,396333
3,4,47492,27694,401139
3,5,47030,33812,397711
3,6,47897,24831,392330
3,7,51243,26375,392765
3,8,53714,32213,385140
3,9,49165,33127,399560
3,10,53074,33274,393007
3,11,54068,26105,382819
3,12,49271,32377,390987
4,1,151743,79945,508134
4,2,164153,98523,509862
4,3,155889,90203,491533
4,4,143545,67741,494634
4,5,147331,67614,495752
4,6,162247,74482,507988
4,7,148433,84903,494828
4,8,137425,78809,502585
4,9,156846,78746,509212
4,10,164502,79779,501671
4,11,137708,94295,499236
4,12,150245,89656,506940
5,1,47090,32247,211245
5,2,51599,35747,203807
5,3,50166,28687,200022
5,4,54654,32461,201757
5,5,48390,29808,209750
5,6,53466,36243,206782
5,7,53509,37249,200138
5,8,53985,33072,210185
5,9,48722,37306,196799
5,10,45050,27418,206568
5,11,51918,33650,208591
5,12,46759,25606,198586
6,1,194003,135085,1048070
6,2,199700,112111,1049044
6,3,199967,131352,1052360
6,4,181744,152931,1059637
6,5,218157,148862,1055482
6,6,209908,150813,1044468
6,7,197127,151507,1060602
6,8,219213,105987,1051540
6,9,195403,145607,1060759
6,10,199411,121173,1041617
6,11,217200,105736,1053961
6,12,204600,152702,1044057
7,1,40892,23344,256617
7,2,40012,31382,239651
7,3,36567,26879,248176
7,4,43120,26220,250686
7,5,40630,27346,238136
7,6,38625,24168,254815
7,7,42711,32078,247190
7,8,36310,25830,252621
7,9,37016,28286,256791
7,10,38172,33254,238159
7,11,37555,27042,252485
7,12,41099,30572,241748
8,1,49089,29037,238587
8,2,49423,29926,226928
8,3,52145,35543,237935
8,4,51382,33626,231353
8,5,49356,36476,229821
8,6,47477,31478,234975
8,7,46201,31290,231126
8,8,45460,27266,234936
8,9,52036,33057,232148
8,10,52633,37503,226143
8,11,48985,34950,224540
8,12,47608,26926,233613
9,1,30452,16212,163280
9,2,27771,19084,166240
9,3,29316,20102,164766
9,4,28240,15437,166579
9,5,29263,13842,162935
9,6,29019,18029,177134
9,7,31089,15890,169661
9,8,29976,18281,166598
9,9,30773,19534,168440
9,10,29507,20146,172510
9,11,29540,17437,180023
9,12,32943,16378,165926
10,1,199862,138081,905490
10,2,183999,118658,912192
10,3,213885,136075,921893
10,4,207070,143449,910278
10,5,183331,120867,909283
10,6,193146,154428,912443
10,7,217847,160714,905854
10,8,183648,144137,915966
10,9,219837,118796,910126
10,10,201836,156353,909638
10,11,185719,159571,907331
10,12,214674,164018,918756
11,1,43888,31135,196339
11,2,41665,28062,212505
11,3,40467,27413,208683
11,4,39941,22744,202633
11,5,40571,30994,206314
11,6,42582,31031,199728
11,7,40666,33496,194412
11,8,39821,23553,210510
11,9,37788,33508,196825
11,10,43823,28903,198108
11,11,43129,28583,204201
11,12,36590,28878,207041
12,1,218016,139138,936116
12,2,193426,104449,939168
12,3,194134,124378,940413
12,4,218975,143757,950286
12,5,181292,109748,938228
12,6,190838,102692,955157
12,7,217621,116337,940253
12,8,204536,116415,954704
12,9,215066,122834,940573
12,10,181054,114403,937642
12,11,219491,103521,939607
12,12,195719,136197,949221
13,1,40443,16158,84197
13,2,42056,13876,88725
13,3,39604,12424,85619
13,4,38197,12880,77825
13,5,41373,15278,76700
13,6,38149,11800,89914
13,7,40162,16178,77644
13,8,42531,17319,78139
13,9,39227,12453,93039
13,10,39364,16250,85454
13,11,41632,12913,89062
13,12,40938,17392,82802
14,1,42898,23920,294041
14,2,39674,23049,306214
14,3,38065,19943,294939
14,4,39940,18886,290816
14,5,40637,18990,293252
14,6,37031,17258,293236
14,7,39202,21878,299645
14,8,41572,19558,305269
14,9,39791,21633,297159
14,10,40815,18035,299889
14,11,38780,16477,293979
14,12,36965,19956,305775
15,1,31837,18183,74736
15,2,32917,16783,57131
15,3,29907,17323,65226
15,4,30187,18000,63885
15,5,27220,14903,62202
15,6,31122,18819,62946
15,7,27182,18970,63958
15,8,29382,13926,62826
15,9,29263,13365,75436
15,10,32044,13823,73585
15,11,27718,19124,68551
15,12,29843,15582,73692
16,1,204302,104797,1069844
16,2,219460,121674,1077134
16,3,184071,100525,1064912
16,4,199512,133116,1079191
16,5,191403,101483,1072336
16,6,182065,94239,1063614
16,7,219295,98619,1067949
16,8,218778,133801,1068127
16,9,219002,116303,1073599
16,10,206745,136784,1060136
16,11,201401,115643,1065759
16,12,218719,126585,1075898
17,1,29725,17185,198065
17,2,32939,15660,189819
17,3,28527,18081,207416
17,4,27700,16677,191690
17,5,29093,19754,200419
17,6,32790,14324,196767
17,7,32945,14868,196362
17,8,27398,18483,199357
17,9,27288,18756,197264
17,10,31503,18877,203724
17,11,31887,17971,195777
17,12,32447,15618,205649
18,1,43196,25808,178847
18,2,36532,24131,171768
18,3,36935,31826,178052
18,4,38679,23159,175840
18,5,43029,27015,169912
18,6,40585,32453,161586
18,7,41655,30080,162802
18,8,36268,27821,165078
18,9,43014,25355,166837
18,10,39656,28190,163694
18,11,40318,26917,179221
18,12,41778,29447,176944
19,1,70082,46539,478082
19,2,71301,37463,492598
19,3,72753,52082,483214
19,4,72119,49386,488896
19,5,63964,37020,488814
19,6,74766,51871,479047
19,7,64585,53193,478900
19,8,65608,50567,480327
19,9,75178,44888,479963
19,10,68310,48905,497146
19,11,74029,46401,485225
19,12,68574,45219,487569
20,1,36271,19833,294809
20,2,40644,22585,300824
20,3,37701,21581,295373
20,4,43688,18436,300345
20,5,37475,19731,292188
20,6,36536,23595,291380
20,7,43184,18920,300121
20,8,39776,22007,308878
20,9,38352,23287,297074
20,10,39526,20599,296226
20,11,42122,18044,310148
20,12,42894,25278,303516
21,1,37568,28420,270698
21,2,36832,31760,268901
21,3,43099,29001,275754
21,4,36795,25444,271682
21,5,42845,32103,270535
21,6,37128,27296,263001
21,7,43170,22833,278211
21,8,37663,22987,265631
21,9,43011,29979,270884
21,10,43284,29773,282157
21,11,38075,26993,266745
21,12,36273,32108,262983
22,1,158995,72043,490745
22,2,150373,81444,491592
22,3,154004,67072,505244
22,4,160047,88654,496192
22,5,162017,79945,496555
22,6,135551,86572,493034
22,7,149942,61407,500434
22,8,141192,59738,506017
22,9,162000,85371,491822
22,10,142521,78218,502715
22,11,140261,86575,490528
22,12,147131,82312,491188
23,1,73101,53608,185658
23,2,69664,54702,172794
23,3,64890,51007,175656
23,4,70557,44399,183791
23,5,74849,60689,174063
23,6,67679,56904,169465
23,7,67821,48292,169181
23,8,72868,53359,180253
23,9,66449,57894,169193
23,10,63032,60945,186647
23,11,67404,57654,174901
23,12,64915,60587,169282
24,1,45515,34328,292508
24,2,50882,38564,307176
24,3,54154,26151,296455
24,4,52310,28191,295642
24,5,54710,37856,294372
24,6,52450,26420,307061
24,7,48191,36373,297009
24,8,48646,32924,301044
24,9,53849,32533,300286
24,10,50724,36052,299414
24,11,52907,29813,303155
24,12,53859,33633,302864
25,1,194028,118385,398721
25,2,199191,110409,408440
25,3,219363,118432,407589
25,4,193454,107918,401101
25,5,189551,90290,391450
25,6,191880,122049,390430
25,7,189344,87364,404571
25,8,197110,102006,399440
25,9,188730,126205,402545
25,10,183576,103428,398487
25,11,216148,127883,405184
25,12,182599,102744,406505
26,1,54277,25193,156037
26,2,48962,23202,160482
26,3,53974,20721,153218
26,4,52478,17117,150606
26,5,50800,17593,163955
26,6,48911,19120,163533
26,7,54556,24076,159705
26,8,51552,21457,163269
26,9,47813,18949,150064
26,10,47597,22909,159844
26,11,50326,24917,155834
26,12,51832,17464,158811
27,1,161044,79073,621116
27,2,145020,78841,616509
27,3,138175,95051,619134
27,4,163839,86827,617898
27,5,135154,99311,614728
27,6,157305,76096,621815
27,7,151685,97082,603322
27,8,140793,73396,612910
27,9,164435,92686,610037
27,10,154020,89452,604035
27,11,138209,97236,612467
27,12,160203,84245,605410
28,1,91158,32448,605084
28,2,109802,41853,614670
28,3,102951,40576,614027
28,4,96472,38922,614532
28,5,93178,38607,617019
28,6,92043,44639,606073
28,7,105896,42129,620938
28,8,91647,41923,605824
28,9,92626,44856,614376
28,10,93021,38041,609177
28,11,98394,41266,618864
28,12,105201,38197,608357
29,1,37273,24950,124821
29,2,42212,31372,135142
29,3,40242,22846,138488
29,4,38353,32967,140475
29,5,37483,27875,136214
29,6,36938,24061,134692
29,7,37980,28966,130353
29,8,37286,30020,137645
29,9,40722,27549,125312
29,10,39716,30348,138918
29,11,43797,30817,127299
29,12,41559,32382,141025
30,1,48264,27302,176669
30,2,48506,22048,177064
30,3,48578,25180,178138
30,4,50675,29164,178982
